
[Input A:  9:0000000000001001, Input B:  6:0000000000000110, Add: 0000, Output: 15:00000000000000000000000000001111, Error: 00]
[Input A:  9:0000000000001001, Input B:  6:0000000000000110, Sub: 1000, Output:  3:00000000000000000000000000000011, Error: 00]
[Input A:  9:0000000000001001, Input B:  6:0000000000000110, Mult:0100, Output: 54:00000000000000000000000000110110, Error: 00]
[Input A:  9:0000000000001001, Input B:  6:0000000000000110, Div: 0010, Output:  1:00000000000000000000000000000001, Error: 00]
[Input A:  9:0000000000001001, Input B:  6:0000000000000110, Mod: 0001, Output:  3:00000000000000000000000000000011, Error: 00]
[Input A: 40192:1001110100000000, Input B: 16868:0100000111100100, Add: 0000, Output: 57060:00000000000000001101111011100100, Error: 00]
[Input A: 40192:1001110100000000, Input B: 16868:0100000111100100, Sub: 1000, Output: 23324:00000000000000000101101100011100, Error: 00]
[Input A: 40192:1001110100000000, Input B: 16868:0100000111100100, Mult:0100, Output: 678024192:00101000011010011101010000000000, Error: 00]
[Input A: 40192:1001110100000000, Input B: 16868:0100000111100100, Div: 0010, Output:  2:00000000000000000000000000000010, Error: 00]
[Input A: 40192:1001110100000000, Input B: 16868:0100000111100100, Mod: 0001, Output: 6456:00000000000000000001100100111000, Error: 00]


